"Time","Salon"
2020-11-13 11:00:00,55
2020-11-13 13:00:00,55
2020-11-13 13:00:00,60
2020-11-13 13:00:00,44
2020-11-13 13:00:00,65
2020-11-13 13:00:00,64
2020-11-13 13:00:00,61
2020-11-13 13:00:00,50
2020-11-13 13:00:00,62
2020-11-13 15:00:00,62
2020-11-13 15:00:00,63
2020-11-13 15:00:00,42
2020-11-13 15:00:00,56
2020-11-13 15:00:00,59
2020-11-13 15:00:00,41
2020-11-13 15:00:00,49
2020-11-13 17:00:00,59
2020-11-13 17:00:00,58
2020-11-13 17:00:00,67
2020-11-13 17:00:00,51
2020-11-13 17:00:00,50
2020-11-13 17:00:00,46
2020-11-13 17:00:00,60
2020-11-13 19:00:00,60
2020-11-13 19:00:00,57
2020-11-13 19:00:00,55
2020-11-13 19:00:00,52
2020-11-13 19:00:00,46
2020-11-13 19:00:00,63
2020-11-13 19:00:00,48
2020-11-13 19:00:00,49
2020-11-13 19:00:00,39
2020-11-13 21:00:00,39
2020-11-13 21:00:00,38
2020-11-13 23:00:00,38
2020-11-13 23:00:00,39
2020-11-14 01:00:00,39
2020-11-14 01:00:00,38
2020-11-14 03:00:00,38
2020-11-14 03:00:00,39
2020-11-14 05:00:00,39
2020-11-14 05:00:00,38
2020-11-14 05:00:00,40
2020-11-14 07:00:00,39
2020-11-14 07:00:00,38
2020-11-14 07:00:00,44
2020-11-14 07:00:00,52
2020-11-14 07:00:00,55
2020-11-14 07:00:00,54
2020-11-14 07:00:00,59
2020-11-14 09:00:00,59
2020-11-14 09:00:00,61
2020-11-14 09:00:00,43
2020-11-14 09:00:00,47
2020-11-14 09:00:00,67
2020-11-14 09:00:00,58
2020-11-14 09:00:00,55
2020-11-14 11:00:00,59
2020-11-14 11:00:00,42
2020-11-14 11:00:00,50
2020-11-14 11:00:00,54
2020-11-14 11:00:00,60
2020-11-14 11:00:00,62
2020-11-14 11:00:00,39
2020-11-14 13:00:00,39
2020-11-14 13:00:00,37
2020-11-14 13:00:00,40
2020-11-14 13:00:00,43
2020-11-14 15:00:00,43
2020-11-14 15:00:00,39
2020-11-14 15:00:00,37
2020-11-14 15:00:00,38
2020-11-14 15:00:00,58
2020-11-14 15:00:00,54
2020-11-14 17:00:00,54
2020-11-14 17:00:00,58
2020-11-14 17:00:00,48
2020-11-14 17:00:00,70
2020-11-14 17:00:00,68
2020-11-14 17:00:00,69
2020-11-14 19:00:00,69
2020-11-14 19:00:00,56
2020-11-14 19:00:00,57
2020-11-14 19:00:00,50
2020-11-14 19:00:00,43
2020-11-14 19:00:00,42
2020-11-14 19:00:00,40
2020-11-14 19:00:00,47
2020-11-14 21:00:00,47
2020-11-14 21:00:00,46
2020-11-14 21:00:00,42
2020-11-14 21:00:00,38
2020-11-14 21:00:00,37
2020-11-14 23:00:00,38
2020-11-14 23:00:00,37
2020-11-15 01:00:00,37
2020-11-15 03:00:00,37
2020-11-15 05:00:00,37
2020-11-15 05:00:00,38
2020-11-15 07:00:00,38
2020-11-15 07:00:00,37
2020-11-15 07:00:00,45
2020-11-15 07:00:00,54
2020-11-15 07:00:00,55
2020-11-15 09:00:00,55
2020-11-15 09:00:00,58
2020-11-15 09:00:00,61
2020-11-15 09:00:00,62
2020-11-15 09:00:00,52
2020-11-15 09:00:00,43
2020-11-15 09:00:00,46
2020-11-15 11:00:00,46
2020-11-15 11:00:00,47
2020-11-15 11:00:00,57
2020-11-15 11:00:00,58
2020-11-15 11:00:00,55
2020-11-15 11:00:00,41
2020-11-15 11:00:00,42
2020-11-15 11:00:00,40
2020-11-15 13:00:00,40
2020-11-15 13:00:00,38
2020-11-15 13:00:00,39
2020-11-15 13:00:00,62
2020-11-15 13:00:00,58
2020-11-15 15:00:00,58
2020-11-15 15:00:00,54
2020-11-15 15:00:00,46
2020-11-15 15:00:00,40
