"Time","Salon"
2020-01-11 13:00:00,414
2020-01-12 01:00:00,586
2020-01-12 13:00:00,737
2020-01-13 01:00:00,596
2020-01-13 13:00:00,737
2020-01-14 01:00:00,595
2020-01-14 13:00:00,741
2020-01-15 01:00:00,621
2020-01-15 13:00:00,708
2020-01-16 01:00:00,616
2020-01-16 13:00:00,772
2020-01-17 01:00:00,653
2020-01-17 13:00:00,808
2020-01-18 01:00:00,688
2020-01-18 13:00:00,906
2020-01-19 01:00:00,697
2020-01-19 13:00:00,846
2020-01-20 01:00:00,674
2020-01-20 13:00:00,457
2020-01-21 01:00:00,431
2020-01-21 13:00:00,711
2020-01-22 01:00:00,597
2020-01-22 13:00:00,652
2020-01-23 01:00:00,604
2020-01-23 13:00:00,813
2020-01-24 01:00:00,590
2020-01-24 13:00:00,863
2020-01-25 01:00:00,657
2020-01-25 13:00:00,880
2020-01-26 01:00:00,727
2020-01-26 13:00:00,813
2020-01-27 01:00:00,736
2020-01-27 13:00:00,767
2020-01-28 01:00:00,675
2020-01-28 13:00:00,799
2020-01-29 01:00:00,596
2020-01-29 13:00:00,688
2020-01-30 01:00:00,578
2020-01-30 13:00:00,545
2020-01-31 01:00:00,507
2020-01-31 13:00:00,579
2020-02-01 01:00:00,688
2020-02-01 13:00:00,1280
2020-02-02 01:00:00,802
2020-02-02 13:00:00,1009
2020-02-03 01:00:00,671
2020-02-03 13:00:00,849
2020-02-04 01:00:00,688
2020-02-04 13:00:00,829
2020-02-05 01:00:00,586
2020-02-05 13:00:00,633
2020-02-06 01:00:00,645
2020-02-06 13:00:00,777
2020-02-07 01:00:00,619
2020-02-07 13:00:00,680
2020-02-08 01:00:00,620
2020-02-08 13:00:00,734
2020-02-09 01:00:00,637
2020-02-09 13:00:00,770
2020-02-10 01:00:00,
2020-02-10 13:00:00,1054
2020-02-11 01:00:00,772
2020-02-11 13:00:00,790
2020-02-12 01:00:00,640
2020-02-12 13:00:00,631
2020-02-13 01:00:00,579
2020-02-13 13:00:00,785
2020-02-14 01:00:00,725
2020-02-14 13:00:00,650
2020-02-15 01:00:00,714
2020-02-15 13:00:00,847
2020-02-16 01:00:00,724
2020-02-16 13:00:00,787
2020-02-17 01:00:00,750
2020-02-17 13:00:00,967
2020-02-18 01:00:00,614
2020-02-18 13:00:00,643
2020-02-19 01:00:00,629
2020-02-19 13:00:00,609
2020-02-20 01:00:00,615
2020-02-20 13:00:00,787
2020-02-21 01:00:00,766
2020-02-21 13:00:00,803
2020-02-22 01:00:00,638
2020-02-22 13:00:00,1042
2020-02-23 01:00:00,756
2020-02-23 13:00:00,972
2020-02-24 01:00:00,702
2020-02-24 13:00:00,734
2020-02-25 01:00:00,699
2020-02-25 13:00:00,717
2020-02-26 01:00:00,684
2020-02-26 13:00:00,756
2020-02-27 01:00:00,632
2020-02-27 13:00:00,816
2020-02-28 01:00:00,695
2020-02-28 13:00:00,459
2020-02-29 01:00:00,453
2020-02-29 13:00:00,471
2020-03-01 01:00:00,467
2020-03-01 13:00:00,452
2020-03-02 01:00:00,442
2020-03-02 13:00:00,454
2020-03-03 01:00:00,422
2020-03-03 13:00:00,490
