"Time","Salon","2ème étage","Chambre 3","Chambre 2"
2020-01-11 13:00:00,418,351,415,447
2020-01-12 01:00:00,586,616,525,1074
2020-01-12 13:00:00,737,707,899,1035
2020-01-13 01:00:00,596,637,1244,1232
2020-01-13 13:00:00,737,746,980,1103
2020-01-14 01:00:00,595,667,1256,1243
2020-01-14 13:00:00,741,720,969,1043
2020-01-15 01:00:00,621,690,1081,1239
2020-01-15 13:00:00,708,661,854,974
2020-01-16 01:00:00,616,684,1151,1204
2020-01-16 13:00:00,772,777,1071,1152
2020-01-17 01:00:00,653,701,1056,632
2020-01-17 13:00:00,808,779,1081,1157
2020-01-18 01:00:00,688,748,1254,1053
2020-01-18 13:00:00,906,898,1131,1254
2020-01-19 01:00:00,697,756,1181,1415
2020-01-19 13:00:00,846,756,1038,1162
2020-01-20 01:00:00,674,693,1217,1401
2020-01-20 13:00:00,457,386,524,488
2020-01-21 01:00:00,431,370,490,450
2020-01-21 13:00:00,711,635,876,986
2020-01-22 01:00:00,597,672,1286,1271
2020-01-22 13:00:00,652,630,830,893
2020-01-23 01:00:00,604,671,1191,1321
2020-01-23 13:00:00,813,743,1158,1180
2020-01-24 01:00:00,590,686,1322,808
2020-01-24 13:00:00,863,870,1267,1422
2020-01-25 01:00:00,657,748,1396,983
2020-01-25 13:00:00,880,902,1074,1164
2020-01-26 01:00:00,727,852,1383,1308
2020-01-26 13:00:00,813,832,1019,1053
2020-01-27 01:00:00,736,886,1372,863
2020-01-27 13:00:00,767,945,1082,1010
2020-01-28 01:00:00,675,697,1140,1049
2020-01-28 13:00:00,799,752,1004,1000
2020-01-29 01:00:00,596,612,1093,1053
2020-01-29 13:00:00,688,539,728,828
2020-01-30 01:00:00,578,587,1007,1406
2020-01-30 13:00:00,545,506,611,545
2020-01-31 01:00:00,507,513,569,515
2020-01-31 13:00:00,579,563,680,463
2020-02-01 01:00:00,688,738,1196,854
2020-02-01 13:00:00,1280,1311,1365,1591
2020-02-02 01:00:00,802,905,1423,908
2020-02-02 13:00:00,1009,990,1167,965
2020-02-03 01:00:00,671,677,1185,604
2020-02-03 13:00:00,849,708,987,1065
2020-02-04 01:00:00,688,682,1127,724
2020-02-04 13:00:00,829,788,1003,1153
2020-02-05 01:00:00,586,680,1152,1240
2020-02-05 13:00:00,633,640,713,822
2020-02-06 01:00:00,645,756,1079,1166
2020-02-06 13:00:00,777,845,928,984
2020-02-07 01:00:00,619,726,1110,1196
2020-02-07 13:00:00,680,713,886,1003
2020-02-08 01:00:00,620,870,1030,1306
2020-02-08 13:00:00,734,837,822,904
2020-02-09 01:00:00,637,860,1168,1298
2020-02-09 13:00:00,770,822,872,973
2020-02-10 01:00:00,,,,
2020-02-10 13:00:00,1054,957,1171,1119
2020-02-11 01:00:00,772,887,1298,760
2020-02-11 13:00:00,790,761,927,926
2020-02-12 01:00:00,640,776,1199,1260
2020-02-12 13:00:00,631,654,705,805
2020-02-13 01:00:00,579,668,1107,1092
2020-02-13 13:00:00,785,745,855,883
2020-02-14 01:00:00,725,848,1155,1385
2020-02-14 13:00:00,650,650,782,607
2020-02-15 01:00:00,714,826,1172,1096
2020-02-15 13:00:00,847,751,885,974
2020-02-16 01:00:00,724,789,1066,1126
2020-02-16 13:00:00,787,719,847,974
2020-02-17 01:00:00,750,777,1318,820
2020-02-17 13:00:00,967,913,1089,1229
2020-02-18 01:00:00,614,697,1152,1193
2020-02-18 13:00:00,643,621,677,763
2020-02-19 01:00:00,629,738,1072,1021
2020-02-19 13:00:00,609,593,651,778
2020-02-20 01:00:00,615,702,1067,1279
2020-02-20 13:00:00,787,726,900,1002
2020-02-21 01:00:00,766,761,1224,998
2020-02-21 13:00:00,803,752,937,878
2020-02-22 01:00:00,638,808,1186,1480
2020-02-22 13:00:00,1042,1046,1259,1394
2020-02-23 01:00:00,756,866,1326,1224
2020-02-23 13:00:00,972,976,1030,1238
2020-02-24 01:00:00,702,818,1391,846
2020-02-24 13:00:00,734,748,857,986
2020-02-25 01:00:00,699,747,1283,805
2020-02-25 13:00:00,717,659,711,835
2020-02-26 01:00:00,684,712,1142,1356
2020-02-26 13:00:00,756,715,989,985
2020-02-27 01:00:00,632,658,1262,1156
2020-02-27 13:00:00,816,666,900,950
2020-02-28 01:00:00,695,743,1305,1382
2020-02-28 13:00:00,459,433,507,421
2020-02-29 01:00:00,453,429,551,398
2020-02-29 13:00:00,471,408,492,404
2020-03-01 01:00:00,467,418,617,416
2020-03-01 13:00:00,452,402,554,404
2020-03-02 01:00:00,442,417,524,382
