"Time","Circuit Prises Forte","Circuit Lumière","Circuit Cuisine","Circuit Prises","Linky général","PZEM Général Courant"
2020-01-11 13:00:00,0.75,0.23,0.35,0.73,1.5,
2020-01-12 01:00:00,1.2,0.13,0.53,0.86,2.8,
2020-01-12 13:00:00,1.4,0.39,4.9,3.1,9.1,
2020-01-13 01:00:00,0.91,0.14,0.43,0.87,2.9,
2020-01-13 13:00:00,1.2,0.37,0.57,0.91,2.9,
2020-01-14 01:00:00,1.2,0.17,4.3,1.7,5.3,
2020-01-14 13:00:00,1.4,0.29,0.80,0.95,3.5,
2020-01-15 01:00:00,1.2,0.20,4.6,1.7,4.6,
2020-01-15 13:00:00,1.1,0.43,0.42,0.88,4.3,
2020-01-16 01:00:00,1.9,0.26,4.0,2.1,6.0,
2020-01-16 13:00:00,0.88,0.43,0.74,1.3,3.5,
2020-01-17 01:00:00,1.3,0.27,4.2,1.9,4.9,
2020-01-17 13:00:00,1.4,0.44,0.63,0.93,3.7,
2020-01-18 01:00:00,1.5,0.38,4.1,1.8,6.9,
2020-01-18 13:00:00,1.4,0.39,1.2,1.1,5.4,
2020-01-19 01:00:00,0.74,0.28,0.46,0.91,1.6,
2020-01-19 13:00:00,1.1,0.33,2.8,1.8,5.7,
2020-01-20 01:00:00,1.4,0.25,0.43,0.86,4.8,
2020-01-20 13:00:00,0.75,0.28,0.35,0.71,1.6,
2020-01-21 01:00:00,0.75,0.025,0.42,0.69,1.6,
2020-01-21 13:00:00,0.75,0.30,0.34,0.86,2.5,
2020-01-22 01:00:00,0.77,0.054,0.53,0.88,1.7,
2020-01-22 13:00:00,0.73,0.32,0.34,0.87,1.7,
2020-01-23 01:00:00,1.9,0.15,4.5,1.8,6.1,
2020-01-23 13:00:00,0.95,0.29,0.45,0.86,1.8,
2020-01-24 01:00:00,1.3,0.17,4.6,2.1,5.4,
2020-01-24 13:00:00,1.4,0.39,3.6,1.7,5.1,
2020-01-25 01:00:00,1.1,0.15,4.1,2.0,5.8,
2020-01-25 13:00:00,1.4,0.37,0.56,1.1,2.9,
2020-01-26 01:00:00,1.6,0.24,3.1,1.5,6.0,
2020-01-26 13:00:00,0.76,0.37,2.0,1.4,4.0,
2020-01-27 01:00:00,1.2,0.12,2.6,1.3,3.7,
2020-01-27 13:00:00,1.2,0.30,0.46,0.89,2.3,
2020-01-28 01:00:00,1.5,0.25,5.8,3.3,7.6,
2020-01-28 13:00:00,1.1,0.29,2.8,1.6,5.1,
2020-01-29 01:00:00,1.3,0.23,0.47,0.87,2.1,
2020-01-29 13:00:00,0.82,0.28,0.74,0.99,2.8,
2020-01-30 01:00:00,0.86,0.16,0.42,0.92,2.6,
2020-01-30 13:00:00,0.73,0.23,0.41,0.86,1.7,
2020-01-31 01:00:00,0.74,0.22,0.74,0.86,1.5,
2020-01-31 13:00:00,1.4,0.30,0.76,0.87,4.4,
2020-02-01 01:00:00,0.90,0.12,0.50,1.00,2.1,
2020-02-01 13:00:00,1.7,0.43,2.2,1.8,4.4,
2020-02-02 01:00:00,1.7,0.28,4.9,2.4,8.0,
2020-02-02 13:00:00,1.1,0.35,3.3,2.0,4.3,
2020-02-03 01:00:00,1.3,0.19,0.53,0.92,3.3,
2020-02-03 13:00:00,0.73,0.33,0.58,0.92,1.8,
2020-02-04 01:00:00,0.73,0.19,0.41,0.93,1.9,
2020-02-04 13:00:00,1.4,0.34,0.61,0.88,2.4,
2020-02-05 01:00:00,0.77,0.11,0.46,0.84,1.6,
2020-02-05 13:00:00,0.77,0.38,0.33,0.84,2.7,
2020-02-06 01:00:00,1.3,0.17,3.5,1.6,5.0,
