"Time","Production eau chaude"
2020-01-12 11:03:07,1
2020-01-12 11:14:07,0
2020-01-12 12:58:14,0
2020-01-12 14:28:19,0
2020-01-12 15:28:23,0
2020-01-12 16:26:26,0
2020-01-13 05:15:18,0
2020-01-13 08:32:30,0
2020-01-13 10:44:38,0
2020-01-13 13:00:46,0
2020-01-13 13:56:50,0
2020-01-13 14:53:53,0
2020-01-14 05:27:12,0
2020-01-14 07:50:19,0
2020-01-14 09:18:24,0
2020-01-14 18:18:56,0
2020-01-14 19:19:00,0
2020-01-14 20:06:03,0
2020-01-15 05:23:12,0
2020-01-15 06:52:42,0
2020-01-15 08:19:47,0
2020-01-15 16:01:14,0
2020-01-15 16:46:17,0
2020-01-15 17:37:20,0
2020-01-16 05:48:52,0
2020-01-16 06:31:54,0
2020-01-16 07:41:58,0
2020-01-16 14:11:22,0
2020-01-16 14:53:25,0
2020-01-16 20:04:41,0
2020-01-17 05:01:30,1
2020-01-18 04:34:12,0
2020-01-18 06:18:09,0
2020-01-18 07:44:14,0
2020-01-18 18:18:19,1
2020-01-18 18:30:19,0
2020-01-19 10:09:56,1
2020-01-19 10:21:57,0
2020-01-19 12:53:06,1
2020-01-19 13:04:07,0
2020-01-19 15:04:14,0
2020-01-19 16:31:05,0
2020-01-20 05:01:33,1
2020-01-21 05:49:15,0
2020-01-21 10:00:30,0
2020-01-21 12:37:39,0
2020-01-21 14:20:46,0
2020-01-21 18:40:01,0
2020-01-21 20:05:06,0
2020-01-22 05:45:39,0
2020-01-22 10:49:58,0
2020-01-22 12:36:04,0
2020-01-22 14:07:10,0
2020-01-22 15:18:14,0
2020-01-22 16:18:18,0
2020-01-23 05:23:12,0
2020-01-23 10:33:38,0
2020-01-23 11:44:40,0
2020-01-23 17:49:02,1
2020-01-23 18:01:03,0
2020-01-23 19:27:08,0
2020-01-24 05:14:35,0
2020-01-24 09:16:46,0
2020-01-24 11:05:37,0
2020-01-24 18:36:49,0
2020-01-24 19:26:52,0
2020-01-24 22:15:02,0
2020-01-25 08:31:34,1
2020-01-25 08:43:34,0
2020-01-25 10:50:41,0
2020-01-25 13:14:50,0
2020-01-25 16:42:20,0
2020-01-25 18:13:25,0
2020-01-26 10:28:50,0
2020-01-26 11:25:53,0
2020-01-26 12:16:56,0
2020-01-26 13:03:59,0
2020-01-26 17:25:15,0
2020-01-26 18:03:17,0
2020-01-27 05:01:47,1
