"Time","Aujourd'hui","Moyenne minute","Moyenne Heure"
2020-01-11 13:00:00,3149,176,178
2020-01-12 01:00:00,1395,277,275
2020-01-12 13:00:00,6731,867,771
2020-01-13 01:00:00,1670,250,232
2020-01-13 13:00:00,5242,349,377
2020-01-14 01:00:00,2101,489,440
2020-01-14 13:00:00,6572,388,344
2020-01-15 01:00:00,2155,509,435
2020-01-15 13:00:00,6205,294,268
2020-01-16 01:00:00,2728,764,638
2020-01-16 13:00:00,9274,376,369
2020-01-17 01:00:00,2164,584,481
2020-01-17 13:00:00,7941,363,364
2020-01-18 01:00:00,1782,602,439
2020-01-18 13:00:00,8905,394,461
2020-01-19 01:00:00,1349,206,215
2020-01-19 13:00:00,4241,555,436
2020-01-20 01:00:00,2913,332,409
2020-01-20 13:00:00,5574,181,182
2020-01-21 01:00:00,1043,158,149
2020-01-21 13:00:00,2814,225,213
2020-01-22 01:00:00,1348,192,199
2020-01-22 13:00:00,3288,212,212
2020-01-23 01:00:00,2518,652,591
2020-01-23 13:00:00,7863,265,253
2020-01-24 01:00:00,2264,596,538
2020-01-24 13:00:00,10326,638,624
2020-01-25 01:00:00,1999,559,489
2020-01-25 13:00:00,7170,426,403
2020-01-26 01:00:00,2101,564,378
2020-01-26 13:00:00,7673,499,516
2020-01-27 01:00:00,1734,389,326
2020-01-27 13:00:00,5542,354,369
2020-01-28 01:00:00,2983,967,710
2020-01-28 13:00:00,12729,482,601
2020-01-29 01:00:00,1914,354,321
2020-01-29 13:00:00,5188,261,255
2020-01-30 01:00:00,1455,252,236
2020-01-30 13:00:00,4170,207,210
2020-01-31 01:00:00,1246,182,187
2020-01-31 13:00:00,3930,348,419
2020-02-01 01:00:00,1433,244,239
2020-02-01 13:00:00,6366,676,648
2020-02-02 01:00:00,2144,762,539
2020-02-02 13:00:00,10469,568,589
2020-02-03 01:00:00,1808,312,298
2020-02-03 13:00:00,4709,233,215
2020-02-04 01:00:00,1301,225,202
2020-02-04 13:00:00,4409,352,346
2020-02-05 01:00:00,1343,195,193
2020-02-05 13:00:00,3242,217,206
2020-02-06 01:00:00,1560,516,255
2020-02-06 13:00:00,8072,448,610
2020-02-07 01:00:00,2057,653,475
2020-02-07 13:00:00,10009,3672375,700
2020-02-08 01:00:00,1961,195,245
2020-02-08 13:00:00,4001,246,240
2020-02-09 01:00:00,1217,249,196
2020-02-09 13:00:00,5570,411,410
2020-02-10 01:00:00,,0,143
2020-02-10 13:00:00,10576,563,595348
2020-02-11 01:00:00,1952,598,458
2020-02-11 13:00:00,9428,486,570
2020-02-12 01:00:00,1298,186,183
2020-02-12 13:00:00,3228,187,211
2020-02-13 01:00:00,1464,275,234
2020-02-13 13:00:00,4844,414,429
2020-02-14 01:00:00,1810,539,446
2020-02-14 13:00:00,6739,242,303
2020-02-15 01:00:00,1822,521,449
2020-02-15 13:00:00,8185,293,410
2020-02-16 01:00:00,1088,183,186
2020-02-16 13:00:00,3343,264,264
2020-02-17 01:00:00,1225,229,201
2020-02-17 13:00:00,5289,404,416
2020-02-18 01:00:00,1240,189,186
2020-02-18 13:00:00,3802,343,324
2020-02-19 01:00:00,2436,547,560
2020-02-19 13:00:00,7774,294,281
2020-02-20 01:00:00,1332,241,203
2020-02-20 13:00:00,5696,516,499
2020-02-21 01:00:00,1403,257,235
2020-02-21 13:00:00,5455,360,354
2020-02-22 01:00:00,1677,616,478
2020-02-22 13:00:00,9405,513,384671
2020-02-23 01:00:00,1924,567,515
2020-02-23 13:00:00,8275,443,461
2020-02-24 01:00:00,1248,214,208
2020-02-24 13:00:00,4207,351,390
2020-02-25 01:00:00,1592,393,355
2020-02-25 13:00:00,5558,267,289
2020-02-26 01:00:00,1837,536,382
2020-02-26 13:00:00,7823,445,555
2020-02-27 01:00:00,1271,204,190
2020-02-27 13:00:00,4932,647,633
2020-02-28 01:00:00,1194,195,197
2020-02-28 13:00:00,3454,195,205
2020-02-29 01:00:00,971,139,140
2020-02-29 13:00:00,2457,149,143
2020-03-01 01:00:00,774,121,123
2020-03-01 13:00:00,2178,147,146
2020-03-02 01:00:00,810,123,120
2020-03-02 13:00:00,2239,149,152
2020-03-03 01:00:00,789,118,115
2020-03-03 13:00:00,2118,141,146
2020-03-04 01:00:00,957,127,132
2020-03-04 13:00:00,2212,141,144
2020-03-05 01:00:00,758,105,110
2020-03-05 13:00:00,2012,142,144
2020-03-06 01:00:00,756,110,110
2020-03-06 13:00:00,2017,137,145
2020-03-07 01:00:00,807,130,130
2020-03-07 13:00:00,3736,711,708
2020-03-08 01:00:00,1845,340,352
2020-03-08 13:00:00,6270,512,493
2020-03-09 01:00:00,1376,231,227
2020-03-09 13:00:00,3833,223,236
2020-03-10 01:00:00,2150,452,373
2020-03-10 13:00:00,8474,534,574
2020-03-11 01:00:00,1861,367,353
2020-03-11 13:00:00,5323,368,345
2020-03-12 01:00:00,1340,227,201
2020-03-12 13:00:00,3755,237,246
2020-03-13 01:00:00,1796,322,314
2020-03-13 13:00:00,8492,790,699
2020-03-14 01:00:00,1955,234,275
2020-03-14 13:00:00,5303,534,520
2020-03-15 01:00:00,1531,291,223
2020-03-15 13:00:00,5883,671,693
2020-03-16 01:00:00,1959,606,518
2020-03-16 13:00:00,8410,337,387
2020-03-17 01:00:00,1922,444,405
2020-03-17 13:00:00,6555,316,325
2020-03-18 01:00:00,2096,495,382
2020-03-18 13:00:00,9537,628,694
2020-03-19 01:00:00,1861,508,441
2020-03-19 13:00:00,7035,413,428
2020-03-20 01:00:00,1459,429,314
2020-03-20 13:00:00,6983,679,627
2020-03-21 01:00:00,3789,698,738
2020-03-21 13:00:00,10199,395,448
2020-03-22 01:00:00,1801,610,453
2020-03-22 13:00:00,8145,439,540
2020-03-23 01:00:00,1477,258,243
2020-03-23 13:00:00,5210,443,440
2020-03-24 01:00:00,1989,398,388
2020-03-24 13:00:00,6024,306,299
2020-03-25 01:00:00,2270,594,559
2020-03-25 13:00:00,8714,419,409
2020-03-26 01:00:00,1270,217,210
2020-03-26 13:00:00,5139,483,478
2020-03-27 01:00:00,1271,251,235
2020-03-27 13:00:00,4482,434,433
2020-03-28 01:00:00,1964,427,383
2020-03-28 13:00:00,7218,472,466
2020-03-29 01:00:00,2335,753,577
2020-03-29 14:00:00,11576,662,784
2020-03-30 02:00:00,1507,308,241
2020-03-30 14:00:00,4866,319,366
2020-03-31 02:00:00,1893,416,372
2020-03-31 14:00:00,5967,321,348
2020-04-01 02:00:00,2690,730,588
2020-04-01 14:00:00,8977,435,533
2020-04-02 02:00:00,2279,545,506
2020-04-02 14:00:00,7201,455,455
2020-04-03 02:00:00,2656,571,540
2020-04-03 14:00:00,8002,571,562
2020-04-04 02:00:00,1821,424,361
2020-04-04 14:00:00,5515,314,343
2020-04-05 02:00:00,1932,445,373
2020-04-05 14:00:00,5822,305,349
2020-04-06 02:00:00,2923,789,705
2020-04-06 14:00:00,8774,220,288
2020-04-07 02:00:00,1936,371,373
2020-04-07 14:00:00,5993,339,333
2020-04-08 02:00:00,1851,386,265
2020-04-08 14:00:00,6159,414,489
2020-04-09 02:00:00,2350,422,389
2020-04-09 14:00:00,6766,698,688
2020-04-10 02:00:00,2953,569,551
2020-04-10 14:00:00,6798,271,390286
2020-04-11 02:00:00,668,171,167
2020-04-11 14:00:00,6411,585,555844
2020-04-12 02:00:00,2321,464,419
2020-04-12 14:00:00,6031,253,281
2020-04-13 02:00:00,2754,623,588
2020-04-13 14:00:00,7247,257,254
2020-04-14 02:00:00,3243,798,740
2020-04-14 14:00:00,8867,254,255
2020-04-15 02:00:00,2497,455,424
2020-04-15 14:00:00,5746,268,276
2020-04-16 02:00:00,2218,429,393
2020-04-16 14:00:00,6201,339,341
2020-04-17 02:00:00,2420,614,571
2020-04-17 14:00:00,7133,240,245
2020-04-18 02:00:00,1897,428,349
2020-04-18 14:00:00,5433,257,305
2020-04-19 02:00:00,2314,420,394
2020-04-19 14:00:00,5726,391,393
2020-04-20 02:00:00,1549,281,269
2020-04-20 14:00:00,4832,423,410
2020-04-21 02:00:00,1683,433,285
2020-04-21 14:00:00,6312,317,447
2020-04-22 02:00:00,1503,192,190
2020-04-22 14:00:00,3751,397,385
2020-04-23 02:00:00,1461,251,228
2020-04-23 14:00:00,4819,488,479
2020-04-24 02:00:00,2053,568,461
2020-04-24 14:00:00,7078,397,478
2020-04-25 02:00:00,1598,296,284
2020-04-25 14:00:00,4367,361,351
2020-04-26 02:00:00,2819,652,603
2020-04-26 14:00:00,9797,514,497
2020-04-27 02:00:00,2517,461,436
2020-04-27 14:00:00,7217,545,540
2020-04-28 02:00:00,2431,567,440
2020-04-28 14:00:00,8923,563,643
2020-04-29 02:00:00,2249,637,509
2020-04-29 14:00:00,8006,408,498
2020-04-30 02:00:00,1441,264,229
2020-04-30 14:00:00,4653,506,370634
2020-05-01 02:00:00,1608,320,292
2020-05-01 14:00:00,4968,455,448
2020-05-02 02:00:00,2381,666,615
2020-05-02 14:00:00,9710,635,624
2020-05-03 02:00:00,1500,238,220
2020-05-03 14:00:00,3514,199,212
2020-05-04 02:00:00,2496,701,561
2020-05-04 14:00:00,8231,302,399
2020-05-05 02:00:00,2084,388,384
2020-05-05 14:00:00,5569,455,443
2020-05-06 02:00:00,2381,385,366
2020-05-06 14:00:00,5892,437,439
2020-05-07 02:00:00,1857,415,325
2020-05-07 14:00:00,5753,431,495
2020-05-08 02:00:00,1846,343,309
2020-05-08 14:00:00,4803,377,395
2020-05-09 02:00:00,1658,295,287
2020-05-09 14:00:00,4091,217,222
2020-05-10 02:00:00,2313,498,475
2020-05-10 14:00:00,6457,315,312
2020-05-11 02:00:00,2029,387,371
2020-05-11 14:00:00,5426,389,388
2020-05-12 02:00:00,2229,589,522
2020-05-12 14:00:00,7137,277,328
2020-05-13 02:00:00,2414,424,412
2020-05-13 14:00:00,5761,302,312
2020-05-14 02:00:00,2169,438,409
2020-05-14 14:00:00,5463,238,241
2020-05-15 02:00:00,1919,401,385
2020-05-15 14:00:00,5092,225,239
2020-05-16 02:00:00,2346,598,518
2020-05-16 14:00:00,9430,661,645
2020-05-17 02:00:00,1425,195,193
2020-05-17 14:00:00,3022,206,213
2020-05-18 02:00:00,1477,306,220
2020-05-18 14:00:00,4500,247,319
2020-05-19 02:00:00,1488,257,240
2020-05-19 14:00:00,5018,441,427
2020-05-20 02:00:00,2001,372,348
2020-05-20 14:00:00,6684,459,458
2020-05-21 02:00:00,1418,210,195
2020-05-21 14:00:00,3613,343,361
2020-05-22 02:00:00,1639,272,261
2020-05-22 14:00:00,4407,439,431
2020-05-23 02:00:00,2117,479,383
2020-05-23 14:00:00,8823,724,771
2020-05-24 02:00:00,1478,205,203
2020-05-24 14:00:00,3340,240,237
2020-05-25 02:00:00,1587,373,265
2020-05-25 14:00:00,5437,302,389
2020-05-26 02:00:00,1751,301,290
2020-05-26 14:00:00,4628,403,399
2020-05-27 02:00:00,1887,290,278
2020-05-27 14:00:00,4665,495,481
2020-05-28 02:00:00,2517,321,305
2020-05-28 14:00:00,5436,363,358
2020-05-29 02:00:00,1531,256,245
2020-05-29 14:00:00,4404,444,430
2020-05-30 02:00:00,2195,245,232
2020-05-30 14:00:00,4413,276,279
2020-05-31 02:00:00,2151,366,349
2020-05-31 14:00:00,4790,239,237
2020-06-01 02:00:00,1578,268,251
2020-06-01 14:00:00,4410,436,416
2020-06-02 02:00:00,1766,305,276
2020-06-02 14:00:00,4715,334,337
2020-06-03 02:00:00,2375,589,453
2020-06-03 14:00:00,8007,386,490
2020-06-04 02:00:00,1819,396,341
2020-06-04 14:00:00,6280,438,454
2020-06-05 02:00:00,1919,451,383
2020-06-05 14:00:00,6315,326,364
2020-06-06 02:00:00,923,221,206
2020-06-06 14:00:00,5605,836,843
2020-06-07 02:00:00,2337,450,435
2020-06-07 14:00:00,5819,239,245
2020-06-08 02:00:00,2119,569,394
2020-06-08 14:00:00,8027,433,563
2020-06-09 02:00:00,2060,431,393
2020-06-09 14:00:00,5853,320,327
2020-06-10 02:00:00,3058,883,671
2020-06-10 14:00:00,10531,388,521
2020-06-11 02:00:00,2609,397045,339977
2020-06-11 14:00:00,6195,279,286
2020-06-12 02:00:00,1841,603,350
2020-06-12 14:00:00,11015,870,1059
2020-06-13 02:00:00,2424,452,423
2020-06-13 14:00:00,5812,368,375
2020-06-14 02:00:00,1668,292,265
2020-06-14 14:00:00,4683,406,410
2020-06-15 02:00:00,1662,376,264
2020-06-15 14:00:00,5691,506,585
2020-06-16 02:00:00,2565,691,563
2020-06-16 14:00:00,9516,464,523
2020-06-17 02:00:00,2614,641,534
2020-06-17 14:00:00,10120,680,737
2020-06-18 02:00:00,2316,487,452
2020-06-18 14:00:00,6830,450,440
2020-06-19 02:00:00,1455,244,224
2020-06-19 14:00:00,3910,281,298
2020-06-20 02:00:00,1889,397,353
2020-06-20 14:00:00,5675,291,328
2020-06-21 02:00:00,1721,254,241
2020-06-21 14:00:00,4140,360,360
2020-06-22 02:00:00,1668,293,280
2020-06-22 14:00:00,4613,279,291
2020-06-23 02:00:00,2438,408,381
2020-06-23 14:00:00,5910,338,340
2020-06-24 02:00:00,2135,331,312
2020-06-24 14:00:00,4660,258,262
2020-06-25 02:00:00,2193,421,360
2020-06-25 14:00:00,5984,382,415
2020-06-26 02:00:00,2053,221,212
2020-06-26 14:00:00,882523,201,205
2020-06-27 02:00:00,1300,181,174
2020-06-27 14:00:00,2958,197,198
2020-06-28 02:00:00,1294,186,178
