"Time","Salle à manger"
2020-01-11 23:38:46,1
2020-01-11 23:45:05,0
2020-01-12 08:51:57,1
2020-01-12 10:28:43,0
2020-01-12 16:58:25,1
2020-01-12 17:08:18,1
2020-01-12 17:12:38,1
2020-01-13 06:57:14,1
2020-01-13 08:16:45,0
2020-01-13 16:42:31,1
2020-01-13 21:05:48,0
2020-01-14 06:58:47,1
2020-01-14 08:14:11,0
2020-01-14 14:44:24,1
2020-01-14 17:01:09,1
2020-01-14 18:24:39,1
2020-01-15 07:53:06,1
2020-01-15 09:48:30,0
2020-01-15 18:10:52,1
2020-01-15 22:06:03,0
2020-01-16 06:59:14,1
2020-01-16 08:18:25,0
2020-01-16 17:08:48,1
2020-01-16 18:39:33,0
2020-01-16 18:39:34,1
2020-01-17 06:59:11,1
2020-01-17 08:17:32,0
2020-01-17 11:41:05,1
2020-01-17 13:09:29,0
2020-01-17 16:41:03,1
2020-01-17 20:26:24,0
2020-01-18 07:51:02,1
2020-01-18 10:36:06,0
2020-01-18 12:07:11,1
2020-01-18 17:38:22,1
2020-01-18 21:19:27,0
2020-01-19 07:41:03,1
2020-01-19 10:04:07,0
2020-01-19 17:04:21,1
2020-01-19 21:56:59,1
2020-01-19 22:45:43,1
2020-01-20 07:05:42,1
2020-01-20 09:07:04,0
2020-01-20 17:08:03,1
2020-01-20 21:26:04,0
2020-01-21 16:41:03,1
2020-01-21 17:08:04,0
2020-01-21 17:08:11,1
2020-01-22 06:33:36,1
2020-01-22 06:40:13,0
2020-01-22 08:51:50,1
2020-01-22 18:13:33,1
2020-01-22 21:23:03,0
2020-01-23 07:00:00,1
2020-01-23 08:18:11,0
2020-01-23 16:06:35,1
2020-01-23 16:16:02,0
2020-01-23 16:37:35,1
2020-01-24 07:03:27,1
2020-01-24 08:18:49,0
2020-01-24 17:36:14,1
2020-01-24 21:19:58,0
2020-01-24 22:21:53,1
2020-01-25 08:24:07,1
2020-01-25 10:34:13,0
2020-01-25 17:51:31,1
2020-01-25 21:30:42,0
2020-01-26 08:06:52,1
2020-01-26 10:11:42,0
2020-01-26 16:48:48,1
2020-01-26 16:50:32,1
2020-01-26 22:18:06,1
2020-01-27 07:00:06,1
2020-01-27 08:19:21,0
2020-01-27 16:44:18,1
2020-01-27 20:36:50,0
2020-01-28 06:53:16,1
2020-01-28 10:41:40,1
2020-01-28 11:59:16,1
2020-01-28 13:04:24,1
2020-01-28 13:15:14,0
