"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Buanderie","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2020-01-11 13:00:00,44,80,59,49,59,89,86,,78,,,51,45,45
2020-01-12 01:00:00,43,68,56,49,59,82,54,47,65,55,49,49,44,44
2020-01-12 13:00:00,46,78,63,53,61,93,92,51,73,58,52,55,52,50
2020-01-13 01:00:00,44,72,58,50,62,85,70,46,71,55,51,49,44,45
2020-01-13 13:00:00,42,75,62,53,59,89,89,49,72,59,53,53,53,50
2020-01-14 01:00:00,45,58,59,52,62,71,37,47,52,55,52,51,48,47
2020-01-14 13:00:00,45,64,60,53,58,73,56,48,59,57,51,51,51,49
2020-01-15 01:00:00,44,59,60,49,57,69,41,45,55,54,50,51,45,47
2020-01-15 13:00:00,48,75,62,53,62,86,88,49,74,56,53,54,54,51
2020-01-16 01:00:00,39,64,61,52,63,77,45,50,63,56,53,52,50,50
2020-01-16 13:00:00,46,72,65,55,59,82,81,51,68,61,54,58,56,52
2020-01-17 01:00:00,46,85,61,52,62,85,84,46,75,57,51,51,48,49
2020-01-17 13:00:00,47,84,63,54,64,99,93,51,83,59,54,57,57,52
2020-01-18 01:00:00,52,81,63,54,70,,95,51,85,57,53,54,52,52
2020-01-18 13:00:00,45,70,62,55,61,86,74,49,68,58,55,58,56,51
2020-01-19 01:00:00,42,57,59,50,60,64,47,46,56,56,51,50,46,44
2020-01-19 13:00:00,46,66,61,54,65,72,60,48,63,57,53,53,55,50
2020-01-20 01:00:00,45,58,59,51,58,61,42,46,54,57,51,49,47,45
2020-01-20 13:00:00,41,59,58,50,52,64,51,45,57,56,51,49,46,44
2020-01-21 01:00:00,39,61,57,47,51,74,46,44,66,54,49,46,44,41
2020-01-21 13:00:00,39,69,56,49,54,76,75,41,66,52,49,47,49,45
2020-01-22 01:00:00,38,66,55,46,54,74,50,43,63,53,48,45,43,40
2020-01-22 13:00:00,40,70,57,50,55,75,72,44,66,54,50,48,51,46
2020-01-23 01:00:00,44,65,58,49,60,71,53,45,69,54,47,44,45,45
2020-01-23 13:00:00,40,73,57,51,54,82,84,46,70,54,50,50,49,46
