"Time","Extérieur buanderie"
2020-01-11 13:00:00,
2020-01-12 01:00:00,510
2020-01-12 13:00:00,566
2020-01-13 01:00:00,570
2020-01-13 13:00:00,624
2020-01-14 01:00:00,445
2020-01-14 13:00:00,566
2020-01-15 01:00:00,503
2020-01-15 13:00:00,457
2020-01-16 01:00:00,435
2020-01-16 13:00:00,504
2020-01-17 01:00:00,339
2020-01-17 13:00:00,82
2020-01-18 01:00:00,485
2020-01-18 13:00:00,513
2020-01-19 01:00:00,349
2020-01-19 13:00:00,555
2020-01-20 01:00:00,573
2020-01-20 13:00:00,489
2020-01-21 01:00:00,558
2020-01-21 13:00:00,453
2020-01-22 01:00:00,590
2020-01-22 13:00:00,331
2020-01-23 01:00:00,531
2020-01-23 13:00:00,594
2020-01-24 01:00:00,433
2020-01-24 13:00:00,520
2020-01-25 01:00:00,525
2020-01-25 13:00:00,463
2020-01-26 01:00:00,427
2020-01-26 13:00:00,285
2020-01-27 01:00:00,568
2020-01-27 13:00:00,440
2020-01-28 01:00:00,206
2020-01-28 13:00:00,77
2020-01-29 01:00:00,
2020-01-29 13:00:00,
2020-01-30 01:00:00,600
2020-01-30 13:00:00,295
2020-01-31 01:00:00,639
2020-01-31 13:00:00,496
2020-02-01 01:00:00,455
2020-02-01 13:00:00,173
2020-02-02 01:00:00,139
2020-02-02 13:00:00,111
2020-02-03 01:00:00,367
2020-02-03 13:00:00,561
2020-02-04 01:00:00,444
2020-02-04 13:00:00,387
2020-02-05 01:00:00,427
2020-02-05 13:00:00,592
2020-02-06 01:00:00,511
2020-02-06 13:00:00,468
2020-02-07 01:00:00,484
2020-02-07 13:00:00,930
2020-02-08 01:00:00,641
2020-02-08 13:00:00,348
2020-02-09 01:00:00,469
2020-02-09 13:00:00,438
2020-02-10 01:00:00,
2020-02-10 13:00:00,0
2020-02-11 01:00:00,411
2020-02-11 13:00:00,256
2020-02-12 01:00:00,405
2020-02-12 13:00:00,528
2020-02-13 01:00:00,200
2020-02-13 13:00:00,134
2020-02-14 01:00:00,438
2020-02-14 13:00:00,481
2020-02-15 01:00:00,400
2020-02-15 13:00:00,464
2020-02-16 01:00:00,488
2020-02-16 13:00:00,515
2020-02-17 01:00:00,172
2020-02-17 13:00:00,94
2020-02-18 01:00:00,563
2020-02-18 13:00:00,531
2020-02-19 01:00:00,285
2020-02-19 13:00:00,254
2020-02-20 01:00:00,539
2020-02-20 13:00:00,434
2020-02-21 01:00:00,682
2020-02-21 13:00:00,510
2020-02-22 01:00:00,603
2020-02-22 13:00:00,184
2020-02-23 01:00:00,526
2020-02-23 13:00:00,555
2020-02-24 01:00:00,455
2020-02-24 13:00:00,469
2020-02-25 01:00:00,530
2020-02-25 13:00:00,349
2020-02-26 01:00:00,407
2020-02-26 13:00:00,410
2020-02-27 01:00:00,304
2020-02-27 13:00:00,93
2020-02-28 01:00:00,277
2020-02-28 13:00:00,509
2020-02-29 01:00:00,228
2020-02-29 13:00:00,281
2020-03-01 01:00:00,505
2020-03-01 13:00:00,357
2020-03-02 01:00:00,103
2020-03-02 13:00:00,18
2020-03-03 01:00:00,430
2020-03-03 13:00:00,517
2020-03-04 01:00:00,553
2020-03-04 13:00:00,553
2020-03-05 01:00:00,145
2020-03-05 13:00:00,140
2020-03-06 01:00:00,652
2020-03-06 13:00:00,584
2020-03-07 01:00:00,547
2020-03-07 13:00:00,579
2020-03-08 01:00:00,458
2020-03-08 13:00:00,500
2020-03-09 01:00:00,535
2020-03-09 13:00:00,515
2020-03-10 01:00:00,239
2020-03-10 13:00:00,228
2020-03-11 01:00:00,612
2020-03-11 13:00:00,646
2020-03-12 01:00:00,657
2020-03-12 13:00:00,369
2020-03-13 01:00:00,515
2020-03-13 13:00:00,302
2020-03-14 01:00:00,622
2020-03-14 13:00:00,517
2020-03-15 01:00:00,524
2020-03-15 13:00:00,522
2020-03-16 01:00:00,512
2020-03-16 13:00:00,0
2020-03-17 01:00:00,533
2020-03-17 13:00:00,449
2020-03-18 01:00:00,540
2020-03-18 13:00:00,471
2020-03-19 01:00:00,619
2020-03-19 13:00:00,484
2020-03-20 01:00:00,530
2020-03-20 13:00:00,620
2020-03-21 01:00:00,616
2020-03-21 13:00:00,454
2020-03-22 01:00:00,513
2020-03-22 13:00:00,427
2020-03-23 01:00:00,480
2020-03-23 13:00:00,522
2020-03-24 01:00:00,603
2020-03-24 13:00:00,464
2020-03-25 01:00:00,313
2020-03-25 13:00:00,767
2020-03-26 01:00:00,841
2020-03-26 13:00:00,472
2020-03-27 01:00:00,508
2020-03-27 13:00:00,464
2020-03-28 01:00:00,593
2020-03-28 13:00:00,467
2020-03-29 01:00:00,642
2020-03-29 14:00:00,222
2020-03-30 02:00:00,298
2020-03-30 14:00:00,495
2020-03-31 02:00:00,574
2020-03-31 14:00:00,462
2020-04-01 02:00:00,609
2020-04-01 14:00:00,488
2020-04-02 02:00:00,574
2020-04-02 14:00:00,491
2020-04-03 02:00:00,545
2020-04-03 14:00:00,483
2020-04-04 02:00:00,603
2020-04-04 14:00:00,479
2020-04-05 02:00:00,589
2020-04-05 14:00:00,499
2020-04-06 02:00:00,576
2020-04-06 14:00:00,487
2020-04-07 02:00:00,567
2020-04-07 14:00:00,510
2020-04-08 02:00:00,589
2020-04-08 14:00:00,485
2020-04-09 02:00:00,583
2020-04-09 14:00:00,484
2020-04-10 02:00:00,606
2020-04-10 14:00:00,381
2020-04-11 02:00:00,721
2020-04-11 14:00:00,446
2020-04-12 02:00:00,735
2020-04-12 14:00:00,474
2020-04-13 02:00:00,512
2020-04-13 14:00:00,437
2020-04-14 02:00:00,616
2020-04-14 14:00:00,605
2020-04-15 02:00:00,622
2020-04-15 14:00:00,488
2020-04-16 02:00:00,676
