"Time","Extérieur buanderie","Buanderie intérieur","Salon","Cuisine","Entrée","Fenêtre Ouest","Salle à manger","Extérieur"
2020-11-13 11:00:00,,,,,,,,
2020-11-13 13:00:00,,1.5,,,,,,8531
2020-11-13 15:00:00,,,,,,,,4295
2020-11-13 17:00:00,,,,,,,,53
2020-11-13 19:00:00,,,,,,,,
2020-11-13 21:00:00,,,,,,,,
2020-11-13 23:00:00,,,,,,,,
2020-11-14 01:00:00,,,,,,,,
2020-11-14 03:00:00,,,,,,,,
2020-11-14 05:00:00,,,,,,,,
2020-11-14 07:00:00,,,,,,,,756
2020-11-14 09:00:00,,12,,,,,,5166
2020-11-14 11:00:00,,2.7,,,,,,13732
2020-11-14 13:00:00,,17,,,,,,13339
2020-11-14 15:00:00,,2,,,,,,694
2020-11-14 17:00:00,,4.8,,,,,,116
2020-11-14 19:00:00,,,,,,,,
2020-11-14 21:00:00,,,,,,,,
2020-11-14 23:00:00,,,,,,,,
2020-11-15 01:00:00,,,,,,,,
2020-11-15 03:00:00,,,,,,,,
2020-11-15 05:00:00,,,,,,,,
2020-11-15 07:00:00,,,,,,,,1250
2020-11-15 09:00:00,,16,,,,,,6907
2020-11-15 11:00:00,,43,,,,,,12648
2020-11-15 13:00:00,,73,,,,,,12510
2020-11-15 15:00:00,,11,,,,,,3964
2020-11-15 17:00:00,,,,,,,,45
2020-11-15 19:00:00,,,,,,,,
2020-11-15 21:00:00,,,,,,,,
2020-11-15 23:00:00,,,,,,,,
2020-11-16 01:00:00,,,,,,,,
2020-11-16 03:00:00,,,,,,,,
2020-11-16 05:00:00,,,,,,,,
2020-11-16 07:00:00,,8,,,,,,1403
2020-11-16 09:00:00,,2,,,,,,3632
2020-11-16 11:00:00,,22,,,,,,17887
2020-11-16 13:00:00,,18,,,,,,
2020-11-16 15:00:00,,18,,,,,,2024
2020-11-16 17:00:00,,8,,,,,,42
2020-11-16 19:00:00,,9,,,,,,
2020-11-16 21:00:00,,,,,,,,
2020-11-16 23:00:00,,,,,,,,
2020-11-17 01:00:00,,,,,,,,
2020-11-17 03:00:00,,,,,,,,
2020-11-17 05:00:00,,,,,,,,
2020-11-17 07:00:00,,7.7,,,,,,949
2020-11-17 09:00:00,,,,,,,,5227
2020-11-17 11:00:00,,16,,,,,,13317
