"Time","Fenêtre Evier"
2020-01-13 14:51:42,1
2020-01-13 14:52:38,0
2020-01-14 17:02:04,1
2020-01-14 17:10:08,0
2020-01-16 12:41:03,1
2020-01-16 13:14:44,0
2020-01-17 12:59:14,1
2020-01-17 13:14:14,0
2020-01-21 14:06:48,1
2020-01-21 15:15:52,0
2020-01-23 08:36:06,1
2020-01-23 08:56:14,0
2020-01-23 16:54:16,1
2020-01-23 16:54:20,0
2020-01-25 10:06:44,1
2020-01-25 10:06:54,0
2020-01-26 17:05:06,1
2020-01-26 17:05:15,0
2020-01-27 13:31:55,1
2020-01-27 14:04:48,0
2020-01-27 16:58:57,0
2020-01-28 09:35:52,1
2020-01-28 09:44:59,0
2020-01-28 11:13:35,0
2020-01-28 13:28:03,0
2020-01-30 08:28:16,1
2020-01-31 18:19:08,0
2020-02-02 11:21:56,1
2020-02-02 11:50:53,0
2020-02-03 09:43:21,1
2020-02-03 10:05:34,0
2020-02-03 20:02:10,1
2020-02-03 20:02:14,0
2020-02-07 11:16:18,1
2020-02-07 11:19:58,0
2020-02-07 12:48:00,1
2020-02-07 13:15:41,0
2020-02-07 16:14:23,0
2020-02-07 17:22:15,0
2020-02-08 16:33:36,1
2020-02-08 16:40:47,0
2020-02-09 09:43:41,1
2020-02-09 09:43:47,0
2020-02-09 11:43:24,1
2020-02-09 16:31:18,0
2020-02-11 11:08:37,1
2020-02-11 11:08:40,0
2020-02-11 12:08:40,0
2020-02-13 16:07:55,1
2020-02-13 16:20:01,0
2020-02-13 17:20:01,0
2020-02-14 11:41:13,0
2020-02-14 11:47:32,0
2020-02-14 11:53:01,0
2020-02-14 14:41:35,0
2020-02-14 15:41:35,0
2020-02-14 18:27:37,0
2020-02-16 10:11:21,1
2020-02-16 10:11:32,0
2020-02-17 09:28:16,0
2020-02-17 09:28:16,0
2020-02-17 10:28:21,0
2020-02-18 14:33:05,0
2020-02-18 14:33:05,0
2020-02-18 16:19:22,0
2020-02-20 14:09:30,0
2020-02-20 14:09:31,0
2020-02-20 17:09:45,0
2020-02-21 14:46:37,1
2020-02-21 14:50:52,0
2020-02-21 14:50:53,0
2020-02-23 11:48:31,1
2020-02-23 12:14:01,0
2020-02-23 12:14:01,0
2020-02-23 17:07:31,1
2020-02-23 17:49:59,0
2020-02-23 17:49:59,0
2020-02-24 11:51:32,0
