"Time","RDC","Exterieur","2 ème étage","Chambre 3","Buanderie","RDC sonde","RDC sonde Absolue"
2020-01-12 01:00:00,994,993,,993,,1025,996
2020-01-12 13:00:00,991,991,991,991,991,1023,994
2020-01-13 01:00:00,987,987,987,986,987,1018,989
2020-01-13 13:00:00,984,984,985,984,984,1016,987
2020-01-14 01:00:00,985,985,985,985,985,1017,988
2020-01-14 13:00:00,985,985,985,984,985,1016,987
2020-01-15 01:00:00,986,986,986,986,986,1018,989
2020-01-15 13:00:00,992,992,992,992,992,1024,995
2020-01-16 01:00:00,992,991,991,991,992,1023,994
2020-01-16 13:00:00,989,989,989,989,989,1021,991
2020-01-17 01:00:00,987,987,987,987,987,1019,989
2020-01-17 13:00:00,992,991,992,991,992,1023,994
2020-01-18 01:00:00,992,992,992,991,992,1023,994
2020-01-18 13:00:00,990,989,989,989,989,1022,992
2020-01-19 01:00:00,993,993,993,993,993,1025,996
2020-01-19 13:00:00,998,998,998,996,998,1030,1000
2020-01-20 01:00:00,1001,1000,1000,1000,1000,1033,1003
2020-01-20 13:00:00,1002,1002,1002,1000,1001,1034,1004
2020-01-21 01:00:00,1001,1001,1001,1002,1002,1033,1003
2020-01-21 13:00:00,998,998,998,998,999,1030,1001
2020-01-22 01:00:00,996,996,996,995,996,1028,998
2020-01-22 13:00:00,993,993,993,992,993,1025,995
2020-01-23 01:00:00,991,990,990,990,990,1022,993
2020-01-23 13:00:00,991,990,990,990,990,1022,992
2020-01-24 01:00:00,988,988,988,987,988,1019,990
2020-01-24 13:00:00,987,986,986,986,986,1018,989
2020-01-25 01:00:00,986,986,986,986,986,1018,989
2020-01-25 13:00:00,984,984,984,984,984,1016,987
2020-01-26 01:00:00,985,984,985,984,985,1016,987
2020-01-26 13:00:00,985,984,985,984,984,1016,987
2020-01-27 01:00:00,981,981,981,980,983,1012,983
2020-01-27 13:00:00,974,974,974,974,978,1005,977
2020-01-28 01:00:00,976,976,976,976,976,1007,978
