"Time","Linky Puissance Apparente"
2020-11-13 11:00:00,2470
2020-11-13 11:00:00,2460
2020-11-13 11:00:00,2480
2020-11-13 11:00:00,2500
2020-11-13 13:00:00,2240
2020-11-13 13:00:00,450
2020-11-13 13:00:00,460
2020-11-13 13:00:00,470
2020-11-13 13:00:00,480
2020-11-13 13:00:00,1030
2020-11-13 13:00:00,540
2020-11-13 13:00:00,550
2020-11-13 13:00:00,560
2020-11-13 13:00:00,530
2020-11-13 13:00:00,520
2020-11-13 13:00:00,510
2020-11-13 13:00:00,440
2020-11-13 13:00:00,430
2020-11-13 13:00:00,370
2020-11-13 13:00:00,360
2020-11-13 13:00:00,380
2020-11-13 13:00:00,410
2020-11-13 13:00:00,400
2020-11-13 13:00:00,420
2020-11-13 13:00:00,390
2020-11-13 13:00:00,570
2020-11-13 13:00:00,580
2020-11-13 13:00:00,1760
2020-11-13 13:00:00,2550
2020-11-13 13:00:00,2530
2020-11-13 13:00:00,2500
2020-11-13 13:00:00,2510
2020-11-13 13:00:00,2490
2020-11-13 13:00:00,2520
2020-11-13 13:00:00,2480
2020-11-13 13:00:00,2600
2020-11-13 13:00:00,2580
2020-11-13 13:00:00,2590
2020-11-13 13:00:00,2570
2020-11-13 13:00:00,2560
2020-11-13 13:00:00,2540
2020-11-13 13:00:00,490
2020-11-13 13:00:00,1270
2020-11-13 13:00:00,1320
2020-11-13 13:00:00,1310
2020-11-13 13:00:00,1330
2020-11-13 13:00:00,1220
2020-11-13 15:00:00,400
2020-11-13 15:00:00,390
2020-11-13 15:00:00,470
2020-11-13 15:00:00,460
2020-11-13 15:00:00,370
2020-11-13 15:00:00,380
2020-11-13 15:00:00,320
2020-11-13 15:00:00,310
2020-11-13 15:00:00,330
2020-11-13 15:00:00,340
2020-11-13 15:00:00,560
2020-11-13 15:00:00,350
2020-11-13 17:00:00,330
2020-11-13 17:00:00,320
2020-11-13 17:00:00,360
2020-11-13 17:00:00,350
2020-11-13 17:00:00,1010
2020-11-13 17:00:00,430
2020-11-13 17:00:00,440
2020-11-13 17:00:00,420
2020-11-13 17:00:00,470
2020-11-13 17:00:00,460
2020-11-13 17:00:00,450
2020-11-13 17:00:00,480
2020-11-13 17:00:00,490
2020-11-13 17:00:00,520
2020-11-13 17:00:00,510
