"Time","Linky Puissance Apparente","PZEM Générale Puissance Apparente"
2020-11-13 11:00:00,2500,2506
2020-11-13 13:00:00,1220,390
2020-11-13 15:00:00,350,342
2020-11-13 17:00:00,1210,1234
2020-11-13 19:00:00,400,413
2020-11-13 21:00:00,460,438
2020-11-13 23:00:00,1020,431
2020-11-14 01:00:00,370,404
2020-11-14 03:00:00,460,445
2020-11-14 05:00:00,2210,419
2020-11-14 07:00:00,510,526
2020-11-14 09:00:00,290,323
2020-11-14 11:00:00,380,337
2020-11-14 13:00:00,300,320
2020-11-14 15:00:00,510,412
2020-11-14 17:00:00,2390,2424
2020-11-14 19:00:00,2680,510
2020-11-14 21:00:00,350,410
2020-11-14 23:00:00,420,380
2020-11-15 01:00:00,1160,371
2020-11-15 03:00:00,450,407
2020-11-15 05:00:00,470,463
2020-11-15 07:00:00,980,780
2020-11-15 09:00:00,400,364
2020-11-15 11:00:00,400,396
2020-11-15 13:00:00,1530,1770
2020-11-15 15:00:00,670,535
2020-11-15 17:00:00,1820,1838
2020-11-15 19:00:00,590,512
2020-11-15 21:00:00,540,366
2020-11-15 23:00:00,1040,412
2020-11-16 01:00:00,460,446
2020-11-16 03:00:00,460,415
2020-11-16 05:00:00,360,406
2020-11-16 07:00:00,340,349
2020-11-16 09:00:00,550,472
2020-11-16 11:00:00,1470,467
2020-11-16 13:00:00,340,405
2020-11-16 15:00:00,2630,2658
2020-11-16 17:00:00,380,368
2020-11-16 19:00:00,2340,459
2020-11-16 21:00:00,1250,381
2020-11-16 23:00:00,1380,418
2020-11-17 01:00:00,990,391
2020-11-17 03:00:00,1400,427
2020-11-17 05:00:00,380,428
2020-11-17 07:00:00,330,339
2020-11-17 09:00:00,300,305
2020-11-17 11:00:00,440,448
2020-11-17 13:00:00,1310,400
2020-11-17 15:00:00,490,482
2020-11-17 17:00:00,1190,1206
2020-11-17 19:00:00,1020,601
2020-11-17 21:00:00,910,360
2020-11-17 23:00:00,430,394
2020-11-18 01:00:00,450,447
2020-11-18 03:00:00,460,398
2020-11-18 05:00:00,880,444
2020-11-18 07:00:00,1170,447
2020-11-18 09:00:00,1070,432
2020-11-18 11:00:00,2180,556
2020-11-18 13:00:00,2140,1736
2020-11-18 15:00:00,2580,452
2020-11-18 17:00:00,470,407
2020-11-18 19:00:00,1510,568
2020-11-18 21:00:00,420,414
2020-11-18 23:00:00,380,380
2020-11-19 01:00:00,410,439
2020-11-19 03:00:00,440,393
2020-11-19 05:00:00,2240,423
2020-11-19 07:00:00,520,403
2020-11-19 09:00:00,480,446
2020-11-19 11:00:00,530,489
2020-11-19 13:00:00,310,325
2020-11-19 15:00:00,360,365
2020-11-19 17:00:00,3460,3482
2020-11-19 19:00:00,2530,2575
2020-11-19 21:00:00,350,363
2020-11-19 23:00:00,530,495
2020-11-20 01:00:00,1380,397
2020-11-20 03:00:00,460,458
2020-11-20 05:00:00,2260,439
2020-11-20 07:00:00,1030,873
2020-11-20 09:00:00,310,311
2020-11-20 11:00:00,1850,1498
2020-11-20 13:00:00,480,466
2020-11-20 15:00:00,590,554
2020-11-20 17:00:00,460,828
2020-11-20 19:00:00,1230,920
2020-11-20 21:00:00,1090,384
2020-11-20 23:00:00,450,368
2020-11-21 01:00:00,390,391
2020-11-21 03:00:00,400,400
2020-11-21 05:00:00,460,444
2020-11-21 07:00:00,1120,1021
2020-11-21 09:00:00,380,752
2020-11-21 11:00:00,410,418
2020-11-21 13:00:00,1040,788
2020-11-21 15:00:00,1560,723
2020-11-21 17:00:00,1930,569
2020-11-21 19:00:00,1430,605
2020-11-21 21:00:00,370,380
2020-11-21 23:00:00,450,394
2020-11-22 01:00:00,400,409
2020-11-22 03:00:00,1330,407
2020-11-22 05:00:00,360,364
2020-11-22 07:00:00,530,699
2020-11-22 09:00:00,800,623
2020-11-22 11:00:00,430,471
2020-11-22 13:00:00,310,329
2020-11-22 15:00:00,460,443
2020-11-22 17:00:00,1580,526
2020-11-22 19:00:00,2700,605
2020-11-22 21:00:00,1080,439
2020-11-22 23:00:00,470,439
2020-11-23 01:00:00,400,439
2020-11-23 03:00:00,500,448
2020-11-23 05:00:00,460,414
2020-11-23 07:00:00,650,554
2020-11-23 09:00:00,380,398
2020-11-23 11:00:00,480,423
2020-11-23 13:00:00,370,405
2020-11-23 15:00:00,740,724
2020-11-23 17:00:00,2870,521
2020-11-23 19:00:00,1270,507
2020-11-23 21:00:00,410,422
2020-11-23 23:00:00,460,483
2020-11-24 01:00:00,460,434
2020-11-24 03:00:00,480,429
2020-11-24 05:00:00,1070,470
2020-11-24 07:00:00,840,723
2020-11-24 09:00:00,360,2841
2020-11-24 11:00:00,410,401
2020-11-24 13:00:00,360,373
2020-11-24 15:00:00,2230,395
2020-11-24 17:00:00,1160,1217
