"Time","Télévision","Freebox","Homeciné","Robot Aspirateur","FreeBox TV","Kodi","Multimédia","Four","Garage","Plaques cuisson","Lave vaisselle","Lave linge","PZEM Général Puissance"
2020-01-12 01:00:00,2,15,0.80,3,18,3.5,7,,,,,0,
2020-01-12 13:00:00,4.8,15,0.40,2.7,15,3.5,5,,0,2244,,57,
2020-01-13 01:00:00,2,42,0.40,3,16,,6.6,,,0,2138,,
2020-01-13 13:00:00,4.8,15,0.40,2.7,18,3.5,4.9,,,0,25,,
2020-01-14 01:00:00,2.5,22,0.40,3.5,18,,5.9,,,,,0,
2020-01-14 13:00:00,2,16,0.40,2.7,18,3.5,6.6,,,0,30,,
2020-01-15 01:00:00,2.5,43,0.80,7.9,20,3.5,6,,,,,0,
2020-01-16 13:00:00,2,33,1.2,2.7,18,3.7,4.6,0,,0,,,
2020-01-17 01:00:00,1.8,23,0.40,5.3,18,3.5,5.9,,,0,2204,0,
2020-01-17 13:00:00,2,24,0.80,2.9,16,3.5,5.1,,,0,25,,
2020-01-18 01:00:00,6,24,0.40,2.9,34,3.5,5.1,,,0,2138,438,
2020-01-18 13:00:00,2.7,24,0.40,2.7,20,3.5,6,,,0,22,,
2020-01-19 01:00:00,2.5,22,20,3,19,3.5,5.1,,,,,,
2020-01-19 13:00:00,2,23,0.40,2.7,17,4.8,8,,,,,0,
2020-01-20 13:00:00,2,33,0.40,2.7,0.50,3.9,6.1,,,,,,
2020-01-21 01:00:00,2,16,0.40,3,0.60,3.9,5.3,,,,,,
2020-01-21 13:00:00,5.3,17,0.40,2.7,18,3.9,5.9,,,,,,
2020-01-22 01:00:00,5.6,23,0.40,3,18,4.6,5.1,,,,,,
2020-01-22 13:00:00,5.5,17,0.80,2.7,19,1.6,5.9,,,,,,
2020-01-23 01:00:00,2,45,3.2,18,20,,5.1,,,0,214,49,
2020-01-23 13:00:00,10,19,0.40,2.7,18,2,4.8,,,0,,,
2020-01-24 01:00:00,80,21,0.40,6.8,18,0,4.9,,,0,24,0,
2020-01-24 13:00:00,2,42,0.80,2.7,19,,6.1,,,0,220,264,
2020-01-25 01:00:00,5.5,24,1.7,3.2,20,0.40,4.9,,,0,,0,
2020-01-25 13:00:00,2.5,42,0.40,2.7,18,3.2,6.3,0,,0,225,,
2020-01-26 01:00:00,2,25,0.40,3,20,3.5,6.5,,,,24,61,
2020-01-26 13:00:00,2.7,22,0.80,2.7,18,4.3,7,,,,,,
2020-01-27 01:00:00,2,21,0.40,0,34,3.7,4.9,,,0,,0,
2020-01-27 13:00:00,2,19,2.4,2.7,17,3.7,5,,,0,25,,
2020-01-28 01:00:00,2,18,0.40,1.3,16,3.4,3.7,0,,0,,85,
2020-01-28 13:00:00,92,24,0.40,2.7,20,4,5.1,,,0,,403,
2020-01-29 01:00:00,2.2,21,0.40,3.2,17,4,5.1,,,,24,,
2020-01-29 13:00:00,2,44,0.80,2.7,18,4,20,,,0,,,
2020-01-30 01:00:00,92,19,0.40,4.1,20,4.4,5.8,,,0,,,
2020-01-30 13:00:00,2,40,0.40,2.9,17,4.3,5.1,,,,,,
2020-01-31 13:00:00,2.7,18,0.80,2.7,18,4.4,5.9,,,,24,72,
2020-02-01 13:00:00,5.9,21,4.1,2.7,18,3.7,6.4,0,0,786,25,0,
2020-02-02 01:00:00,2.9,20,0.80,3,18,4.1,6.3,,,,,55,
2020-02-02 13:00:00,94,34,0.80,2.9,33,4.1,6.3,,,0,,0,
2020-02-03 01:00:00,2,14,0.40,11,16,4.1,6,,,0,25,,
2020-02-03 13:00:00,2,44,0.40,2.7,18,4,6,,,0,,,
2020-02-04 01:00:00,2,16,0.40,3,30,3.5,4.8,,,,,,
2020-02-04 13:00:00,81,19,0.80,3.5,23,3.5,4.3,,0,0,61,,
2020-02-05 01:00:00,4.6,21,0.40,2.9,18,,5.1,,,,,,
2020-02-05 13:00:00,2.2,24,0.80,2.9,17,3.7,5.1,,,0,,,
2020-02-06 01:00:00,5,23,0.40,15,18,3.7,8.3,,,0,2202,0,
2020-02-06 13:00:00,2.2,22,9,2.7,20,3.7,4.8,,,0,223,,
2020-02-07 01:00:00,2.7,13,0.40,9,20,3.7,5.8,,,0,,178,
2020-02-07 13:00:00,2.4,37,0.80,2.9,34,,5,,,849,63,0,
2020-02-08 01:00:00,2.5,24,0.40,2.9,20,3.7,5.1,,,,,,
2020-02-08 13:00:00,2.5,23,0.80,3,17,,5.9,,0,2135,,,
2020-02-09 01:00:00,2.2,28,0.80,3,18,3.5,5.1,,,0,2150,,
2020-02-09 13:00:00,5.1,18,0.40,4,19,3.7,5.9,,0,0,11,,
2020-02-10 13:00:00,2,22,0.40,2.7,13,3.7,5.1,,,0,25,,
2020-02-11 01:00:00,2,42,0.40,18,16,4.8,5.9,,,0,,93,
2020-02-11 13:00:00,2.2,20,0.80,2.7,17,3.7,5,0,,872,218,,
2020-02-12 01:00:00,2.2,23,0.80,3.2,18,3.7,4.9,,0,,,,
2020-02-12 13:00:00,2.2,38,0.40,2.7,18,3.7,4.8,,0,0,,,
2020-02-13 01:00:00,2.5,21,0.40,5.9,18,3.7,5.8,,,0,,0,
2020-02-13 13:00:00,2,23,0.40,6.5,34,3.7,5.8,,,301,220,,
2020-02-14 01:00:00,5.3,24,0.40,18,20,3.7,5.1,0,,890,,17,
2020-02-14 13:00:00,2.7,22,0.40,3,18,3.5,6,0,0,864,,,
2020-02-15 01:00:00,56,17,6.1,5.1,15,3.2,4.8,,,,30,0,
2020-02-15 13:00:00,6.1,19,2.9,7.9,18,3.2,7.5,,0,0,,,
2020-02-16 01:00:00,5.1,29,1,3,18,3.2,7.4,,,,,,
2020-02-16 13:00:00,4.5,37,0.40,2.7,18,3,7.4,0,,,,,
2020-02-17 01:00:00,2.5,21,0.40,7.9,19,3,14,,,306,2175,,
2020-02-17 13:00:00,2.5,19,0.80,3,18,3.2,7.9,0,,790,60,,
2020-02-18 01:00:00,2.2,23,0.80,2.9,18,3.2,7.8,,,,,,
2020-02-18 13:00:00,5.1,17,0.80,7.3,17,3.2,7.4,,,359,24,,
2020-02-19 01:00:00,2.5,21,0.80,3.2,17,3,7.6,,,,,39,
2020-02-19 13:00:00,2.7,23,0.80,2.7,17,3.2,7,,,1057,,,
2020-02-20 01:00:00,2.2,22,0.40,2.9,20,3.2,7.3,,,848,73,,
2020-02-20 13:00:00,2.5,23,0.40,2.7,19,3.2,8.3,1537,,788,26,,
2020-02-21 01:00:00,2.5,24,0.80,2.9,20,3,7.3,,,1478,2183,,
2020-02-21 13:00:00,3.2,16,0.40,3,17,3,8.5,,,,59,,
2020-02-22 01:00:00,2.2,41,0.40,3.2,18,3.4,14,,,358,,2104,
2020-02-22 13:00:00,2.5,25,0.40,2.9,18,3.4,5.8,1558,37,852,30,,
2020-02-23 01:00:00,13,38,0.40,5.3,18,3.5,6,2423,,381,,107,
2020-02-23 13:00:00,5.5,25,0.80,4.3,16,4.1,5.6,,,794,187,,
2020-02-24 01:00:00,2.5,12,0.40,9.5,21,3.7,5.6,,,1131,,,
2020-02-24 13:00:00,2.5,18,0.40,3.7,13,4.5,5.9,,41,850,60,,
2020-02-25 01:00:00,2.2,33,0.40,3,17,3.7,6,,,,,53,
2020-02-25 13:00:00,2.5,41,4.9,0.40,20,3.9,6.1,,,358,,,
2020-02-26 01:00:00,2.2,28,0.40,37,18,3.7,7.1,,,1134,,106,
2020-02-26 13:00:00,2.2,23,0.80,2.7,17,3.5,7.4,,41,304,25,,
2020-02-27 01:00:00,54,25,0.40,0,17,3.5,7.5,,,1128,,,
2020-02-27 13:00:00,2.2,23,3.2,3,16,3.5,9,1590,0,1128,25,322,
2020-02-28 01:00:00,2.7,23,5.6,4,20,3.7,7.3,,,,,,
2020-02-28 13:00:00,2.2,24,0.40,2.7,14,3.7,7.3,,,853,,,
2020-02-29 01:00:00,2,38,0.40,3,0.60,3.5,8.8,,,,,,
2020-02-29 13:00:00,2.2,26,0.80,2.7,0.50,3.9,7.3,,,,,,
2020-03-01 01:00:00,2.2,33,0.40,3.7,0.60,3.9,7,,,,,,
2020-03-01 13:00:00,2.2,20,0.80,2.7,0.80,3.9,7.3,,,,,,
2020-03-02 01:00:00,2,24,0.40,3,0.60,4,7.5,,,,,,
2020-03-02 13:00:00,2.2,18,0.80,2.7,0.50,3.9,7.1,,,,,,
2020-03-03 01:00:00,2.2,43,0.80,3,0.60,3.7,7.6,,,,,,
2020-03-03 13:00:00,1.8,13,0.40,2.7,0.80,3.7,8,,,,,,
2020-03-04 01:00:00,2,23,0.40,3.4,0.60,3.5,8.1,,,,,,
2020-03-04 13:00:00,2,15,0.40,2.7,0.50,3.5,8,,,,,,
2020-03-05 01:00:00,2.2,24,0.80,3,0.50,3.5,8,,,,,,
2020-03-05 13:00:00,2,15,0.80,2.7,0.80,3.5,8,,,,,,
2020-03-06 01:00:00,2.2,21,0.40,2.9,0.50,3.7,7.6,,,,,,
2020-03-06 13:00:00,2,16,0.80,2.7,0.60,3.7,8,,,,,,
2020-03-07 01:00:00,2.2,21,0.40,3,0.50,3.7,7.5,,,,,,
2020-03-07 13:00:00,2.2,34,0.80,2.7,0.50,3.2,10,,,0,,274,
2020-03-08 01:00:00,2.5,28,5.5,3,18,3.2,8,,,,,53,
2020-03-08 13:00:00,2.5,33,0.40,2.7,18,3.2,10,,,1213,25,65,
2020-03-09 01:00:00,4.4,37,2.5,0.40,20,3.2,11,,,,,,
2020-03-09 13:00:00,2.2,15,0.40,2.7,17,3.2,11,,,,,,
2020-03-10 01:00:00,3.4,23,0.40,13,21,3.2,9.3,,,0,30,2108,
2020-03-10 13:00:00,3.5,13,0.80,2.7,20,3,11,,,0,,0,
2020-03-11 01:00:00,2.2,36,0.80,3,20,3.2,11,,,,,55,
2020-03-11 13:00:00,2.5,20,0.40,2.7,21,3.7,11,,,2279,26,,
2020-03-12 01:00:00,2.2,18,0.40,30,19,3,11,,,0,,,
2020-03-12 13:00:00,2.5,18,0.40,2.7,12,3.2,13,,,,,,
2020-03-13 01:00:00,2.2,24,0.40,3,34,3,14,,,,,42,
2020-03-13 13:00:00,4.6,25,0.40,7.9,18,3.2,13,0,,0,2199,,
2020-03-14 01:00:00,1.3,23,0.40,19,19,3,13,,,0,0,,
2020-03-14 13:00:00,1.8,16,1.2,2.7,15,4.9,12,,,,60,0,
2020-03-15 01:00:00,92,21,0.80,0,20,3.9,11,,,0,,,
2020-03-15 13:00:00,4.3,21,0.40,2.7,16,4.9,12,0,0,,,0,
2020-03-16 01:00:00,3.2,17,0.40,3,39,4,12,0,0,0,80,57,
2020-03-16 13:00:00,2.7,35,0.80,2.7,19,3.9,12,,40,316,24,,
2020-03-17 01:00:00,92,26,0.40,37,20,4,10,,10,0,0,,
2020-03-17 13:00:00,2.2,29,1,2.7,13,4.8,11,,0,0,,,
2020-03-18 01:00:00,2,16,4.5,3.4,25,4,6.8,,0,0,0,214,
2020-03-18 13:00:00,4,20,0.40,2.7,18,4,7.8,,41,0,,84,
2020-03-19 01:00:00,2.2,22,4.1,18,18,4,6.8,0,17,1940,60,,
