"Time","Cuisine","Extérieur Cuisine","2ème étage","Chambre 3","Buanderie","Extérieur Cuisine2","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre 3 2","Chambre 2","Chambre 1","Chambre 2"
2020-11-13 11:00:00,,,,,,,16,,,,,,,
2020-11-13 13:00:00,22,14,19,22,21,11,15,23,15,20,22,21,22,21
2020-11-13 15:00:00,22,14,19,21,21,12,14,23,16,19,21,20,21,20
2020-11-13 17:00:00,22,13,19,21,21,12,12,23,14,19,21,20,21,20
2020-11-13 19:00:00,22,12,19,21,21,11,10,23,13,19,21,20,21,20
2020-11-13 21:00:00,21,12,19,21,21,10,9.9,23,12,19,21,20,21,20
2020-11-13 23:00:00,22,11,20,21,21,9.4,9.1,23,12,20,21,21,21,21
2020-11-14 01:00:00,22,11,20,22,21,8.5,8.3,23,11,20,22,21,22,21
2020-11-14 03:00:00,23,10,20,22,20,7.7,6.9,23,10,20,23,22,22,22
2020-11-14 05:00:00,22,9.4,20,22,20,6.7,5.6,23,9.6,20,23,22,23,22
2020-11-14 07:00:00,23,8.8,20,23,20,5.9,6.1,23,9.0,21,23,22,23,22
2020-11-14 09:00:00,23,10,20,22,20,7.1,10,23,9.9,20,23,22,23,22
2020-11-14 11:00:00,22,12,19,22,20,9.1,15,23,12,20,22,21,22,21
2020-11-14 13:00:00,22,13,19,21,20,10,18,23,17,19,21,21,22,21
2020-11-14 15:00:00,22,14,19,21,21,12,15,23,20,19,21,20,21,20
2020-11-14 17:00:00,22,13,19,21,21,11,11,23,16,19,21,20,21,20
2020-11-14 19:00:00,22,11,19,21,21,9.9,9.2,23,13,19,21,19,21,19
2020-11-14 21:00:00,22,11,19,21,21,9.2,8.2,23,12,19,21,19,21,19
2020-11-14 23:00:00,22,10,19,21,21,,8.0,22,11,19,21,20,21,20
2020-11-15 01:00:00,22,10,20,21,21,,7.8,23,11,20,22,21,22,21
2020-11-15 03:00:00,23,9.2,20,22,20,,5.8,23,9.8,20,23,21,22,21
2020-11-15 05:00:00,23,8.9,20,22,20,6.1,5.5,23,9.2,20,23,22,22,22
2020-11-15 07:00:00,23,9.3,20,23,20,6.3,7.3,23,9.2,21,23,22,23,22
2020-11-15 09:00:00,23,11,20,22,20,6.7,11,23,10,20,23,21,22,21
2020-11-15 11:00:00,23,13,19,22,20,11,14,23,12,20,22,21,22,21
2020-11-15 13:00:00,23,14,19,21,21,12,18,23,16,19,22,20,22,20
2020-11-15 15:00:00,23,15,19,21,21,13,17,24,19,19,21,20,21,20
2020-11-15 17:00:00,22,15,19,21,22,14,15,23,17,19,21,20,21,20
2020-11-15 19:00:00,23,15,19,21,22,14,15,24,16,19,21,20,21,20
2020-11-15 21:00:00,23,14,19,21,22,13,13,23,15,20,21,20,21,20
2020-11-15 23:00:00,22,14,20,21,21,12,13,23,14,20,21,20,21,20
2020-11-16 01:00:00,21,13,20,21,21,12,13,23,13,20,21,20,21,20
