time;load;temperature
01/01/2016 00:00;0.419980;7.580000
01/01/2016 01:00;1.300020;7.530000
01/01/2016 02:00;1.340000;7.616667
01/01/2016 03:00;0.260000;8.125000
01/01/2016 04:00;0.760000;9.008333
01/01/2016 05:00;0.760000;9.405001
01/01/2016 06:00;0.260000;9.773333
01/01/2016 07:00;0.420000;10.780000
01/01/2016 08:00;1.009980;11.500000
01/01/2016 09:00;0.680020;10.430000
01/01/2016 10:00;0.339900;10.335000
01/01/2016 11:00;0.590100;9.006667
01/01/2016 12:00;1.130000;8.135000
01/01/2016 13:00;0.130000;7.988333
01/01/2016 14:00;0.120000;7.620000
01/01/2016 15:00;0.130000;7.511667
01/01/2016 16:00;0.920000;6.461667
01/01/2016 17:00;0.210000;6.300000
01/01/2016 18:00;0.210000;6.215000
01/01/2016 19:00;0.210000;6.776667
01/01/2016 20:00;0.210100;6.950000
01/01/2016 21:00;0.589900;6.976667
01/01/2016 22:00;0.250000;6.971667
01/01/2016 23:00;0.250000;7.016666
02/01/2016 00:00;0.580100;6.786667
02/01/2016 01:00;0.919900;6.655000
02/01/2016 02:00;0.419900;6.705000
02/01/2016 03:00;0.340100;6.768333
02/01/2016 04:00;0.330000;7.413333
02/01/2016 05:00;0.340000;7.783333
02/01/2016 06:00;0.330000;8.073334
02/01/2016 07:00;0.130000;8.375000
02/01/2016 08:00;0.130000;8.801666
02/01/2016 09:00;0.130000;8.551666
02/01/2016 10:00;0.120000;8.330000
02/01/2016 11:00;0.920000;8.063334
02/01/2016 12:00;0.210000;8.003333
02/01/2016 13:00;0.210000;7.655000
02/01/2016 14:00;0.210000;7.515000
02/01/2016 15:00;0.210000;7.415000
02/01/2016 16:00;0.590000;7.205000
02/01/2016 17:00;0.250000;6.935000
02/01/2016 18:00;0.250000;6.571667
02/01/2016 19:00;0.260000;6.568334
02/01/2016 20:00;0.250000;6.650000
02/01/2016 21:00;0.419900;6.725000
02/01/2016 22:00;0.330100;6.488334
02/01/2016 23:00;0.340000;5.905000
03/01/2016 00:00;0.329900;5.011667
03/01/2016 01:00;0.340100;4.921667
03/01/2016 02:00;0.130000;4.985000
03/01/2016 03:00;0.120000;5.325000
03/01/2016 04:00;0.130000;6.380000
03/01/2016 05:00;0.130000;7.353333
03/01/2016 06:00;1.920000;8.501667
03/01/2016 07:00;0.210000;9.098333
03/01/2016 08:00;0.210000;9.176666
03/01/2016 09:00;0.210000;8.445000
03/01/2016 10:00;0.210100;8.248333
03/01/2016 11:00;0.579900;8.028333
03/01/2016 12:00;0.300100;8.130000
03/01/2016 13:00;0.289900;8.948334
03/01/2016 14:00;0.290000;9.605000
03/01/2016 15:00;0.299900;8.416667
03/01/2016 16:00;0.250000;7.691667
03/01/2016 17:00;0.340100;7.961667
03/01/2016 18:00;0.330000;7.940000
03/01/2016 19:00;0.340000;7.718333
03/01/2016 20:00;0.330000;7.930000
03/01/2016 21:00;0.170000;8.425000
03/01/2016 22:00;0.839900;7.591667
03/01/2016 23:00;1.830200;7.408333
04/01/2016 00:00;1.339900;7.221667
04/01/2016 01:00;5.179900;7.013333
04/01/2016 02:00;3.119980;6.888333
04/01/2016 03:00;4.110220;6.775000
04/01/2016 04:00;4.619900;7.593333
04/01/2016 05:00;4.519880;8.481667
04/01/2016 06:00;4.020240;8.910000
04/01/2016 07:00;3.869800;9.488333
04/01/2016 08:00;3.860280;9.540000
04/01/2016 09:00;4.049680;10.068334
04/01/2016 10:00;4.190220;10.115000
04/01/2016 11:00;3.689920;9.610000
04/01/2016 12:00;2.539980;8.840000
04/01/2016 13:00;1.430000;8.161667
04/01/2016 14:00;0.659900;7.946667
04/01/2016 15:00;0.920100;7.920000
04/01/2016 16:00;0.250000;8.023333
04/01/2016 17:00;0.260000;8.450000
04/01/2016 18:00;0.750000;8.251667
04/01/2016 19:00;0.250000;7.861667
04/01/2016 20:00;0.250000;7.351667
04/01/2016 21:00;0.750000;6.803333
04/01/2016 22:00;0.250000;6.656667
04/01/2016 23:00;0.250000;6.475000
05/01/2016 00:00;0.919900;6.233334
05/01/2016 01:00;3.180180;6.221667
05/01/2016 02:00;4.670000;6.388333
05/01/2016 03:00;4.510020;6.766667
05/01/2016 04:00;4.069920;7.385000
05/01/2016 05:00;4.740200;7.936667
05/01/2016 06:00;3.909900;8.978333
05/01/2016 07:00;4.909900;9.563334
05/01/2016 08:00;5.080000;10.455000
